customer_id,customer_name,email,country,registration_date
CUST00001,Customer 1,customer1@email.com,Australia,2022-11-24
CUST00002,Customer 2,customer2@email.com,France,2022-02-27
CUST00003,Customer 3,customer3@email.com,India,2022-01-13
CUST00004,Customer 4,customer4@email.com,Australia,2022-05-21
CUST00005,Customer 5,customer5@email.com,Germany,2022-05-06
CUST00006,Customer 6,customer6@email.com,India,2022-04-25
CUST00007,Customer 7,customer7@email.com,India,2022-03-13
CUST00008,Customer 8,customer8@email.com,Australia,2022-02-22
CUST00009,Customer 9,customer9@email.com,UK,2022-12-13
CUST00010,Customer 10,customer10@email.com,Germany,2022-10-07
CUST00011,Customer 11,customer11@email.com,Australia,2022-02-14
CUST00012,Customer 12,customer12@email.com,Germany,2022-10-30
CUST00013,Customer 13,customer13@email.com,Germany,2022-08-05
CUST00014,Customer 14,customer14@email.com,India,2022-01-17
CUST00015,Customer 15,customer15@email.com,France,2022-01-16
CUST00016,Customer 16,customer16@email.com,Germany,2022-02-17
CUST00017,Customer 17,customer17@email.com,Canada,2022-04-22
CUST00018,Customer 18,customer18@email.com,India,2022-04-30
CUST00019,Customer 19,customer19@email.com,UK,2022-09-16
CUST00020,Customer 20,customer20@email.com,France,2022-11-05
CUST00021,Customer 21,customer21@email.com,Canada,2022-01-14
CUST00022,Customer 22,customer22@email.com,Canada,2022-10-15
CUST00023,Customer 23,customer23@email.com,UK,2022-04-12
CUST00024,Customer 24,customer24@email.com,France,2022-11-29
CUST00025,Customer 25,customer25@email.com,India,2022-12-26
CUST00026,Customer 26,customer26@email.com,USA,2022-10-07
CUST00027,Customer 27,customer27@email.com,France,2022-08-03
CUST00028,Customer 28,customer28@email.com,UK,2022-04-23
CUST00029,Customer 29,customer29@email.com,Canada,2022-08-18
CUST00030,Customer 30,customer30@email.com,India,2022-10-29
CUST00031,Customer 31,customer31@email.com,France,2022-05-23
CUST00032,Customer 32,customer32@email.com,USA,2022-01-04
CUST00033,Customer 33,customer33@email.com,USA,2022-03-23
CUST00034,Customer 34,customer34@email.com,Germany,2022-12-24
CUST00035,Customer 35,customer35@email.com,Germany,2022-08-05
CUST00036,Customer 36,customer36@email.com,Australia,2022-06-24
CUST00037,Customer 37,customer37@email.com,UK,2022-05-23
CUST00038,Customer 38,customer38@email.com,France,2022-03-21
CUST00039,Customer 39,customer39@email.com,France,2022-04-21
CUST00040,Customer 40,customer40@email.com,Australia,2022-06-22
CUST00041,Customer 41,customer41@email.com,Canada,2022-02-22
CUST00042,Customer 42,customer42@email.com,Canada,2022-02-17
CUST00043,Customer 43,customer43@email.com,Australia,2022-07-14
CUST00044,Customer 44,customer44@email.com,Canada,2022-02-19
CUST00045,Customer 45,customer45@email.com,Germany,2022-07-03
CUST00046,Customer 46,customer46@email.com,France,2022-06-26
CUST00047,Customer 47,customer47@email.com,Australia,2022-11-06
CUST00048,Customer 48,customer48@email.com,France,2022-05-16
CUST00049,Customer 49,customer49@email.com,USA,2022-01-23
CUST00050,Customer 50,customer50@email.com,Germany,2022-08-24
CUST00051,Customer 51,customer51@email.com,India,2022-10-02
CUST00052,Customer 52,customer52@email.com,Germany,2022-03-05
CUST00053,Customer 53,customer53@email.com,Australia,2022-07-13
CUST00054,Customer 54,customer54@email.com,India,2022-02-10
CUST00055,Customer 55,customer55@email.com,USA,2022-10-10
CUST00056,Customer 56,customer56@email.com,Australia,2022-05-31
CUST00057,Customer 57,customer57@email.com,UK,2022-11-18
CUST00058,Customer 58,customer58@email.com,France,2022-11-13
CUST00059,Customer 59,customer59@email.com,USA,2022-07-05
CUST00060,Customer 60,customer60@email.com,France,2022-10-23
CUST00061,Customer 61,customer61@email.com,Canada,2022-04-09
CUST00062,Customer 62,customer62@email.com,UK,2022-12-27
CUST00063,Customer 63,customer63@email.com,UK,2022-02-05
CUST00064,Customer 64,customer64@email.com,USA,2022-01-24
CUST00065,Customer 65,customer65@email.com,UK,2022-12-05
CUST00066,Customer 66,customer66@email.com,India,2022-04-27
CUST00067,Customer 67,customer67@email.com,UK,2022-05-29
CUST00068,Customer 68,customer68@email.com,France,2022-02-10
CUST00069,Customer 69,customer69@email.com,France,2022-04-30
CUST00070,Customer 70,customer70@email.com,Australia,2022-02-21
CUST00071,Customer 71,customer71@email.com,France,2022-07-14
CUST00072,Customer 72,customer72@email.com,Australia,2022-05-23
CUST00073,Customer 73,customer73@email.com,France,2022-08-21
CUST00074,Customer 74,customer74@email.com,India,2022-11-22
CUST00075,Customer 75,customer75@email.com,Australia,2022-07-06
CUST00076,Customer 76,customer76@email.com,Germany,2022-03-25
CUST00077,Customer 77,customer77@email.com,Canada,2022-07-09
CUST00078,Customer 78,customer78@email.com,USA,2022-07-01
CUST00079,Customer 79,customer79@email.com,France,2022-04-18
CUST00080,Customer 80,customer80@email.com,UK,2022-12-10
CUST00081,Customer 81,customer81@email.com,France,2022-05-17
CUST00082,Customer 82,customer82@email.com,UK,2022-12-26
CUST00083,Customer 83,customer83@email.com,Canada,2022-12-16
CUST00084,Customer 84,customer84@email.com,Canada,2022-11-28
CUST00085,Customer 85,customer85@email.com,Canada,2022-02-06
CUST00086,Customer 86,customer86@email.com,UK,2022-11-08
CUST00087,Customer 87,customer87@email.com,France,2022-11-22
CUST00088,Customer 88,customer88@email.com,Canada,2022-03-29
CUST00089,Customer 89,customer89@email.com,India,2022-10-01
CUST00090,Customer 90,customer90@email.com,Australia,2022-05-06
CUST00091,Customer 91,customer91@email.com,UK,2022-03-25
CUST00092,Customer 92,customer92@email.com,UK,2022-08-25
CUST00093,Customer 93,customer93@email.com,France,2022-07-14
